Column1,Column2,Column3,Column4
0.22,0.2,305.368,0.900488731
0.18,0.2,259.296,0.894516149
0.16,0.2,234.304,0.886832633
0.24,0.2,377.304,0.882095531
0.26,0.2,288.136,0.877214537
0.28,0.2,303.392,0.844343396
0.3,0.2,317.256,0.823830955
0.14,0.2,161.08,0.774802891
0.12,0.2,212.568,0.762250759
0.2,0.22,340.184,0.936090154
0.18,0.22,275.2152,0.905957628
0.26,0.22,362.5864,0.897370031
0.24,0.22,435.9416,0.896229714
0.16,0.22,270.5288,0.890245513
0.28,0.22,345.516,0.879119164
0.22,0.22,276.0504,0.862707753
0.3,0.22,396.9816,0.853272081
0.14,0.22,177.4224,0.760194715
0.1,0.22,295.9992,0.754909383
0.12,0.22,187.5288,0.712172618
0.2,0.24,382.2528,0.944579521
0.26,0.24,413.3568,0.909933555
0.24,0.24,420.96,0.897023767
0.28,0.24,409.2576,0.89416186
0.18,0.24,310.9728,0.889509253
0.3,0.24,395.552,0.887744979
0.16,0.24,275.2576,0.883139467
0.22,0.24,336.6592,0.87334148
0.12,0.24,271.248,0.786259202
0.14,0.24,181.2608,0.757258573
0.1,0.24,294.5568,0.754412897
0.34,0.24,211.5264,0.752011704
0.08,0.24,272.8608,0.73511935
0.32,0.24,208.1056,0.728751886
0.2,0.26,399.448,0.927850654
0.28,0.26,477.0968,0.909872556
0.26,0.26,390.6576,0.906007507
0.16,0.26,290.4408,0.90596566
0.18,0.26,364.3408,0.903747327
0.3,0.26,460.5848,0.89670139
0.24,0.26,435.624,0.894851091
0.22,0.26,330.9808,0.841348329
0.34,0.26,264.1536,0.791639321
0.32,0.26,224.3488,0.784221711
0.1,0.26,385.6024,0.76984764
0.12,0.26,258.4472,0.767467719
0.36,0.26,156.7016,0.725387001
0.14,0.26,194.8568,0.700625683
0.2,0.28,501.1312,0.946189426
0.18,0.28,398.1344,0.934673518
0.3,0.28,518.4976,0.910235892
0.26,0.28,400.2496,0.907598335
0.28,0.28,443.7936,0.903077013
0.16,0.28,297.9408,0.879251847
0.24,0.28,438.2448,0.86344856
0.22,0.28,363.08,0.830807047
0.32,0.28,281.6064,0.823437563
0.34,0.28,272.264,0.820693849
0.36,0.28,199.5248,0.77798665
0.12,0.28,337.8416,0.752529441
0.2,0.3,516.732,0.960979459
0.18,0.3,405.62,0.929426002
0.3,0.3,521.44,0.921959672
0.28,0.3,482.256,0.893537421
0.26,0.3,385.524,0.868971648
0.16,0.3,243.892,0.859283667
0.22,0.3,453.088,0.854616468
0.24,0.3,517.136,0.854488987
0.32,0.3,338.864,0.848828892
0.34,0.3,323.14,0.843503878
0.36,0.3,196.08,0.802236657
0.1,0.3,275.696,0.751124377
0.2,0.32,515.9936,0.957733714
0.18,0.32,360.352,0.924479519
0.3,0.32,550.464,0.912870784
0.22,0.32,455.9872,0.880114073
0.26,0.32,413.7152,0.872033169
0.24,0.32,595.3856,0.860359694
0.34,0.32,374.016,0.859997904
0.28,0.32,458.4896,0.850417731
0.32,0.32,348.2048,0.848182722
0.36,0.32,237.152,0.834370458
0.16,0.32,276.7872,0.832868661
0.12,0.32,311.9936,0.768730884
0.2,0.34,461.2704,0.950355256
0.18,0.34,400.2952,0.931678656
0.3,0.34,529.7112,0.886089913
0.26,0.34,476.7488,0.876875374
0.28,0.34,502.0632,0.876620283
0.24,0.34,552.6376,0.876307497
0.34,0.34,375.2304,0.858282528
0.36,0.34,278.224,0.856793768
0.32,0.34,420.6032,0.851150749
0.22,0.34,432.1,0.846492146
0.1,0.34,264.2456,0.729474439
0.2,0.36,560.0592,0.964252018
0.3,0.36,596.1648,0.895418118
0.18,0.36,297.3392,0.893157588
0.26,0.36,510.7312,0.878763498
0.28,0.36,560.5184,0.877803574
0.34,0.36,441.064,0.863404384
0.36,0.36,267.8896,0.850961693
0.22,0.36,349.2496,0.846161233
0.24,0.36,512.3248,0.829984401
0.32,0.36,382.8256,0.797784914
0.12,0.36,298.2368,0.750113073
0.08,0.36,141.0448,0.742329738
0.38,0.36,178.8656,0.740673504
0.1,0.36,225.5008,0.710321936
0.2,0.38,474.2992,0.958370685
0.3,0.38,662.6184,0.902689469
0.28,0.38,574.1888,0.879172983
0.22,0.38,392.9688,0.876210726
0.34,0.38,434.216,0.868786511
0.24,0.38,464.9208,0.863147401
0.36,0.38,319.5104,0.863134269
0.18,0.38,226.4624,0.856848023
0.26,0.38,493.4472,0.834007274
0.1,0.38,287.1872,0.827705178
0.08,0.38,248.8848,0.825477272
0.32,0.38,435.2048,0.8169136
0.38,0.38,171.8728,0.756480829
0.12,0.38,203.38,0.730481016
0.2,0.4,448.816,0.958158206
0.22,0.4,324.736,0.932330472
0.3,0.4,670.8,0.902334241
0.28,0.4,642.304,0.887907275
0.24,0.4,401.776,0.880987221
0.34,0.4,481.28,0.877592317
0.1,0.4,388.528,0.873030165
0.36,0.4,312.08,0.867683212
0.26,0.4,472.832,0.859529129
0.18,0.4,278.368,0.847737223
0.32,0.4,487.584,0.831846967
0.08,0.4,245.792,0.812207766
0.12,0.4,252.416,0.809528431
0.38,0.4,223.024,0.788008123
0.06,0.4,161.408,0.745516906
0.16,0.4,286.592,0.709999727
0.2,0.42,493.8216,0.946931553
0.22,0.42,320.9048,0.943554694
0.28,0.42,602.992,0.91410231
0.24,0.42,367.5872,0.912322908
0.3,0.42,735.34,0.907808174
0.34,0.42,528.344,0.884779439
0.36,0.42,340.1584,0.883272874
0.26,0.42,382.9064,0.871674731
0.1,0.42,407.1896,0.865165429
0.12,0.42,326.9088,0.850490241
0.08,0.42,292.1384,0.84765522
0.32,0.42,496.6952,0.828837014
0.18,0.42,300.9368,0.821488504
0.38,0.42,206.5056,0.791164242
0.16,0.42,247.0288,0.741749141
0.22,0.44,338.7664,0.947125682
0.2,0.44,509.7184,0.93431066
0.3,0.44,688.2896,0.930822345
0.24,0.44,350.7344,0.929938955
0.28,0.44,505.8736,0.927247861
0.36,0.44,377.3088,0.892761837
0.26,0.44,368.0096,0.889014705
0.34,0.44,542.0144,0.881441255
0.12,0.44,416.4512,0.86443092
0.1,0.44,382.4272,0.859676931
0.32,0.44,547.9664,0.840049693
0.38,0.44,236.3392,0.811885652
0.18,0.44,247.7408,0.807603312
0.08,0.44,210.288,0.771563751
0.16,0.44,258.3568,0.769203518
0.22,0.46,376.1096,0.952680767
0.3,0.46,540.8592,0.949244788
0.24,0.46,372.716,0.94085982
0.2,0.46,501.8968,0.939762713
0.28,0.46,520.5304,0.937176812
0.26,0.46,298.468,0.909006001
0.32,0.46,501.7184,0.889256842
0.36,0.46,380.4568,0.888344601
0.34,0.46,588.4696,0.887120409
0.12,0.46,399.8752,0.884887188
0.18,0.46,244.564,0.831232134
0.38,0.46,266.1728,0.828440293
0.08,0.46,263.8184,0.806299163
0.16,0.46,255.3336,0.770348706
0.28,0.48,446.976,0.948461586
0.3,0.48,506.7072,0.948178907
0.22,0.48,399.264,0.948140088
0.24,0.48,398.144,0.93928186
0.2,0.48,482.016,0.932733396
0.32,0.48,415.5392,0.923004645
0.34,0.48,534.0352,0.916180299
0.26,0.48,298.0096,0.903890387
0.36,0.48,416.9984,0.895592953
0.18,0.48,193.6064,0.838445025
0.38,0.48,261.3952,0.823170901
0.12,0.48,287.4112,0.787259422
0.08,0.48,162.1376,0.763266062
0.1,0.48,267.5968,0.706005712
0.22,0.5,421.66,0.953854672
0.2,0.5,511.7,0.946390304
0.28,0.5,457.52,0.945724081
0.3,0.5,470.12,0.936593973
0.32,0.5,392.64,0.926129414
0.34,0.5,439.12,0.920107913
0.24,0.5,388.92,0.919397346
0.36,0.5,410.68,0.911600204
0.26,0.5,333.12,0.911091996
0.18,0.5,222.9,0.858617033
0.38,0.5,290.62,0.8358507
0.12,0.5,282.14,0.79225683
0.22,0.52,488.9264,0.960644641
0.2,0.52,565.3504,0.947584859
0.28,0.52,491.3552,0.947194141
0.3,0.52,519.3248,0.943760017
0.24,0.52,429.7056,0.926200287
0.26,0.52,385.6448,0.924821124
0.32,0.52,345.1376,0.911589472
0.34,0.52,409.5296,0.900591978
0.36,0.52,314.8496,0.896383037
0.18,0.52,221.5264,0.855436914
0.38,0.52,276.0704,0.852454431
0.12,0.52,259.6144,0.772141928
0.22,0.54,483.7912,0.960152982
0.2,0.54,586.2712,0.946115765
0.28,0.54,503.6528,0.943566469
0.24,0.54,487.7712,0.932992641
0.26,0.54,419.5072,0.930410227
0.3,0.54,504.5088,0.928297056
0.32,0.54,385.3352,0.921837497
0.34,0.54,381.8048,0.886541775
0.38,0.54,191.4592,0.83759646
0.36,0.54,276.3288,0.837156753
0.12,0.54,269.52,0.792981461
0.22,0.56,524.1184,0.962079987
0.28,0.56,535.5456,0.947172939
0.26,0.56,471.3408,0.938920602
0.24,0.56,491.4944,0.933560966
0.3,0.56,511.6768,0.92232521
0.2,0.56,477.9808,0.908834548
0.34,0.56,417.4272,0.895676491
0.32,0.56,359.8816,0.886839912
0.36,0.56,239.8816,0.799735257
0.38,0.56,163.7568,0.794957645
0.18,0.56,186.3968,0.746099265
0.12,0.56,238.3264,0.730876079
0.28,0.58,586.1008,0.951987932
0.26,0.58,472.3416,0.950734918
0.22,0.58,393.504,0.93957093
0.24,0.58,547.6192,0.938431195
0.2,0.58,522.3704,0.929978547
0.3,0.58,538.4776,0.92685968
0.32,0.58,357.3136,0.862405419
0.34,0.58,385.768,0.857947261
0.36,0.58,268.4488,0.819922432
0.38,0.58,147.0232,0.798964136
0.18,0.58,177.5744,0.716939116
0.28,0.6,636.656,0.956268145
0.26,0.6,523.112,0.955785654
0.22,0.6,407.288,0.945095187
0.24,0.6,463.928,0.942331732
0.3,0.6,584.632,0.932635127
0.2,0.6,481.336,0.90417447
0.32,0.6,374.416,0.871001514
0.34,0.6,377.896,0.838163183
0.36,0.6,297.016,0.837005555
0.38,0.6,170.024,0.819187642
0.18,0.6,185.72,0.730462858
0.28,0.62,687.2112,0.95935918
0.26,0.62,524.1968,0.950417794
0.24,0.62,518.8088,0.948267432
0.3,0.62,630.7864,0.937844758
0.22,0.62,384.8784,0.937644201
0.2,0.62,518.9656,0.901046148
0.32,0.62,411.5632,0.882083618
0.34,0.62,389.732,0.842205277
0.38,0.62,193.0248,0.835979088
0.36,0.62,282.9904,0.817303884
0.18,0.62,201.876,0.736598753
0.26,0.64,574.0096,0.955692075
0.28,0.64,669.7664,0.949710212
0.24,0.64,544.8192,0.944718802
0.3,0.64,676.9408,0.941696955
0.22,0.64,408.9088,0.932856416
0.2,0.64,499.8848,0.897877551
0.32,0.64,448.7104,0.891944881
0.34,0.64,422.304,0.852167567
0.38,0.64,216.0256,0.84988028
0.36,0.64,310.8288,0.832902455
0.28,0.66,718.8216,0.95365385
0.26,0.66,564.8712,0.949889485
0.24,0.66,596.8448,0.948862091
0.22,0.66,464.1872,0.943492365
0.3,0.66,671.4944,0.931353021
0.32,0.66,485.8576,0.899752963
0.2,0.66,485.1032,0.871136784
0.38,0.66,239.0264,0.861506742
0.34,0.66,454.876,0.860815031
0.36,0.66,338.6672,0.846214263
0.18,0.66,217.8432,0.717743003
0.12,0.66,251.728,0.710903613
0.26,0.68,612.8976,0.95427527
0.24,0.68,648.8704,0.95222927
0.28,0.68,707.1392,0.949712528
0.3,0.68,716.6912,0.935829687
0.22,0.68,439.9216,0.923249196
0.32,0.68,470.4464,0.885752037
0.2,0.68,509.8672,0.881931091
0.38,0.68,262.0272,0.871549325
0.34,0.68,487.448,0.868356592
0.36,0.68,323.0048,0.834529086
0.12,0.68,320.1568,0.7647575
0.08,0.68,184.6896,0.705090826
0.26,0.7,660.924,0.957881148
0.28,0.7,754.408,0.953077693
0.24,0.7,560.204,0.946611582
0.3,0.7,699.364,0.929291602
0.22,0.7,393.536,0.901121832
0.32,0.7,456.312,0.897072278
0.38,0.7,285.028,0.880231922
0.2,0.7,509.976,0.850824626
0.36,0.7,350.152,0.846348436
0.34,0.7,466.504,0.845506062
0.12,0.7,316.688,0.768163594
0.26,0.72,640.448,0.956331637
0.28,0.72,801.6768,0.955958559
0.24,0.72,451.7184,0.949923654
0.3,0.72,742.7744,0.933316868
0.38,0.72,308.0288,0.887735455
0.32,0.72,461.424,0.881957307
0.22,0.72,385.3664,0.868326755
0.34,0.72,446.928,0.856978576
0.36,0.72,377.2992,0.856657115
0.12,0.72,362.6016,0.78377272
0.2,0.72,390.9024,0.770188361
0.18,0.72,194.9504,0.730214301
0.28,0.74,718.6464,0.9597747
0.26,0.74,526.876,0.95855251
0.24,0.74,437.1864,0.937236065
0.3,0.74,786.1848,0.936822758
0.38,0.74,331.0296,0.894307271
0.32,0.74,495.908,0.889922645
0.36,0.74,352.3896,0.870317512
0.34,0.74,477.676,0.865142191
0.22,0.74,308.3152,0.839144146
0.2,0.74,439.62,0.831547892
0.12,0.74,446.0072,0.819464257
0.18,0.74,246.4768,0.777592926
0.28,0.76,600.0336,0.964141626
0.24,0.76,388.728,0.935327147
0.3,0.76,675.7744,0.932909156
0.26,0.76,482.8912,0.928985477
0.38,0.76,301.1072,0.904648103
0.32,0.76,530.392,0.896739661
0.36,0.76,378.6704,0.879238231
0.34,0.76,508.424,0.872215841
0.2,0.76,438.4736,0.845946314
0.18,0.76,318.3984,0.834120559
0.22,0.76,262.9376,0.811091673
0.12,0.76,366.2624,0.769698911
0.3,0.78,550.0832,0.937611751
0.28,0.78,552.4824,0.933679595
0.24,0.78,337.1624,0.922964442
0.26,0.78,429.4568,0.920390887
0.38,0.78,323.2416,0.91029399
0.34,0.78,539.172,0.878485216
0.32,0.78,404.444,0.865440701
0.2,0.78,437.336,0.864178886
0.36,0.78,349.664,0.849066959
0.22,0.78,306.1728,0.838725357
0.12,0.78,392.14,0.779112996
